"filename", "language", "CSS", "HTML", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\oracl\Documents\repos\working-projects\forestry\index.html", "HTML", 0, 197, 0, 0, 14, 29, 240
"c:\Users\oracl\Documents\repos\working-projects\forestry\package.json", "JSON", 0, 0, 13, 0, 0, 1, 14
"c:\Users\oracl\Documents\repos\working-projects\forestry\pages\about.html", "HTML", 0, 107, 0, 0, 8, 11, 126
"c:\Users\oracl\Documents\repos\working-projects\forestry\pages\contact.html", "HTML", 0, 109, 0, 0, 8, 12, 129
"c:\Users\oracl\Documents\repos\working-projects\forestry\pages\goals.html", "HTML", 0, 129, 0, 0, 8, 12, 149
"c:\Users\oracl\Documents\repos\working-projects\forestry\pages\preservation.html", "HTML", 0, 107, 0, 0, 8, 10, 125
"c:\Users\oracl\Documents\repos\working-projects\forestry\pages\protection.html", "HTML", 0, 107, 0, 0, 8, 12, 127
"c:\Users\oracl\Documents\repos\working-projects\forestry\pages\social.html", "HTML", 0, 100, 0, 0, 8, 18, 126
"c:\Users\oracl\Documents\repos\working-projects\forestry\pages\volunteer.html", "HTML", 0, 107, 0, 0, 8, 18, 133
"c:\Users\oracl\Documents\repos\working-projects\forestry\scripts\fontAdjustment.js", "JavaScript", 0, 0, 0, 100, 8, 14, 122
"c:\Users\oracl\Documents\repos\working-projects\forestry\scripts\menuClose.js", "JavaScript", 0, 0, 0, 5, 0, 1, 6
"c:\Users\oracl\Documents\repos\working-projects\forestry\scripts\modal.js", "JavaScript", 0, 0, 0, 19, 2, 3, 24
"c:\Users\oracl\Documents\repos\working-projects\forestry\scripts\scroll.js", "JavaScript", 0, 0, 0, 22, 3, 5, 30
"c:\Users\oracl\Documents\repos\working-projects\forestry\scripts\templateFonts.js", "JavaScript", 0, 0, 0, 13, 1, 4, 18
"c:\Users\oracl\Documents\repos\working-projects\forestry\scripts\wordInterval.js", "JavaScript", 0, 0, 0, 13, 1, 1, 15
"c:\Users\oracl\Documents\repos\working-projects\forestry\styles\buckets.css", "CSS", 76, 0, 0, 0, 7, 7, 90
"c:\Users\oracl\Documents\repos\working-projects\forestry\styles\donate.css", "CSS", 139, 0, 0, 0, 9, 14, 162
"c:\Users\oracl\Documents\repos\working-projects\forestry\styles\footer.css", "CSS", 113, 0, 0, 0, 7, 13, 133
"c:\Users\oracl\Documents\repos\working-projects\forestry\styles\goals.css", "CSS", 107, 0, 0, 0, 6, 11, 124
"c:\Users\oracl\Documents\repos\working-projects\forestry\styles\goals\goals.css", "CSS", 204, 0, 0, 0, 9, 26, 239
"c:\Users\oracl\Documents\repos\working-projects\forestry\styles\header.css", "CSS", 36, 0, 0, 0, 3, 5, 44
"c:\Users\oracl\Documents\repos\working-projects\forestry\styles\hero.css", "CSS", 71, 0, 0, 0, 6, 5, 82
"c:\Users\oracl\Documents\repos\working-projects\forestry\styles\main.css", "CSS", 38, 0, 0, 0, 4, 7, 49
"c:\Users\oracl\Documents\repos\working-projects\forestry\styles\sidemenu.css", "CSS", 47, 0, 0, 0, 3, 7, 57
"c:\Users\oracl\Documents\repos\working-projects\forestry\styles\social.css", "CSS", 149, 0, 0, 0, 9, 18, 176
"c:\Users\oracl\Documents\repos\working-projects\forestry\styles\template\template.css", "CSS", 151, 0, 0, 0, 9, 24, 184
"Total", "-", 1131, 963, 13, 172, 157, 288, 2724